RK,Team,REC,PTS,TREND,Last Week,Next Week,link,name,Week,Poll Type,Rank
18,BYUBYU,1-0,405,3, - ,"vs Troy<span class=""green""> W </span>48-7 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png&w=40&h=40,BYU,4,AP Poll,18
19,ULLouisiana,2-0,374,-,"@ Georgia State<span class=""green""> W </span>34-31 ","vs Georgia Southern<span class=""green""> W </span>20-18 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png&w=40&h=40,Louisiana,4,AP Poll,19
20,VTVirginia Tech,0-0,350,-, - ,"vs NC State<span class=""green""> W </span>45-24 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&w=40&h=40,Virginia Tech,4,AP Poll,20
21,PITTPittsburgh,2-0,315,4,"vs Syracuse<span class=""green""> W </span>21-10 ","vs #24 Louisville<span class=""green""> W </span>23-20 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png&w=40&h=40,Pittsburgh,4,AP Poll,21
22,ARMYArmy,2-0,296,-, - ,"@ #14 Cincinnati<span class=""red""> L </span>24-10 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/349.png&w=40&h=40,Army,4,AP Poll,22
23,UKKentucky,0-0,230,-, - ,"@ #8 Auburn<span class=""red""> L </span>29-13 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/96.png&w=40&h=40,Kentucky,4,AP Poll,23
24,LOULouisville,1-1,115,6,"vs #17 Miami<span class=""red""> L </span>47-34 ","@ #21 Pittsburgh<span class=""red""> L </span>23-20 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png&w=40&h=40,Louisville,4,AP Poll,24
25,MRSHMarshall,2-0,108,NR,"vs #23 Appalachian State<span class=""green""> W </span>17-7 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/276.png&w=40&h=40,Marshall,4,AP Poll,25
1,CLEMClemson(55),2-0,1542,-, - ,"vs Virginia<span class=""green""> W </span>41-23 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=40&h=40,Clemson,5,AP Poll,1
2,ALAAlabama(3),1-0,1473,-,"@ Missouri<span class=""green""> W </span>38-19 ","vs #13 Texas A&M<span class=""green""> W </span>52-24 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&w=40&h=40,Alabama,5,AP Poll,2
3,FLAFlorida,1-0,1324,2,"@ Ole Miss<span class=""green""> W </span>51-35 ","vs South Carolina<span class=""green""> W </span>38-24 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&w=40&h=40,Florida,5,AP Poll,3
4,UGAGeorgia,1-0,1310,-,"@ Arkansas<span class=""green""> W </span>37-10 ","vs #7 Auburn<span class=""green""> W </span>27-6 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png&w=40&h=40,Georgia,5,AP Poll,4
5,NDNotre Dame,2-0,1231,2, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=40&h=40,Notre Dame,5,AP Poll,5
6,OSUOhio State(4),0-0,1169,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&w=40&h=40,Ohio State,5,AP Poll,6
7,AUBAuburn,1-0,1133,1,"vs #23 Kentucky<span class=""green""> W </span>29-13 ","@ #4 Georgia<span class=""red""> L </span>27-6 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&w=40&h=40,Auburn,5,AP Poll,7
8,MIAMIMiami,3-0,1045,4,"vs Florida State<span class=""green""> W </span>52-10 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&w=40&h=40,Miami,5,AP Poll,8
9,TEXTexas,2-0,862,1,"@ Texas Tech<span class=""green""> W </span>63-56 ","vs TCU<span class=""red""> L </span>33-31 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&w=40&h=40,Texas,5,AP Poll,9
10,PSUPenn State,0-0,840,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png&w=40&h=40,Penn State,5,AP Poll,10
11,UCFUCF,2-0,743,2,"@ East Carolina<span class=""green""> W </span>51-28 ","vs Tulsa<span class=""red""> L </span>34-26 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png&w=40&h=40,UCF,5,AP Poll,11
12,UNCNorth Carolina,1-0,734,1, - ,"@ Boston College<span class=""green""> W </span>26-22 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&w=40&h=40,North Carolina,5,AP Poll,12
13,TA&MTexas A&M,1-0,705,3,"vs Vanderbilt<span class=""green""> W </span>17-12 ","@ #2 Alabama<span class=""red""> L </span>52-24 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png&w=40&h=40,Texas A&M,5,AP Poll,13
14,OREOregon,0-0,651,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png&w=40&h=40,Oregon,5,AP Poll,14
15,CINCincinnati,2-0,646,1,"vs #22 Army<span class=""green""> W </span>24-10 ","vs South Florida<span class=""green""> W </span>28-7 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png&w=40&h=40,Cincinnati,5,AP Poll,15
16,MSSTMississippi State,1-0,590,NR,"@ #6 LSU<span class=""green""> W </span>44-34 ","vs Arkansas<span class=""red""> L </span>21-14 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/344.png&w=40&h=40,Mississippi State,5,AP Poll,16
17,OKSTOklahoma State,2-0,555,2,"vs West Virginia<span class=""green""> W </span>27-13 ","@ Kansas<span class=""green""> W </span>47-7 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&w=40&h=40,Oklahoma State,5,AP Poll,17
18,OUOklahoma,1-1,535,15,"vs Kansas State<span class=""red""> L </span>38-35 ","@ Iowa State<span class=""red""> L </span>37-30 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png&w=40&h=40,Oklahoma,5,AP Poll,18
19,WISCWisconsin,0-0,510,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&w=40&h=40,Wisconsin,5,AP Poll,19
