RK,Team,REC,PTS,TREND,Last Week,Next Week,link,name,Week,Poll Type,Rank
13,AUBAuburn,1-1,701,6,"@ #4 Georgia<span class=""red""> L </span>27-6 ","vs Arkansas<span class=""green""> W </span>30-28 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&w=40&h=40,Auburn,6,Coaches Poll,13
14,WISCWisconsin,0-0,668,4, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&w=40&h=40,Wisconsin,6,Coaches Poll,14
15,BYUBYU,3-0,646,7,"vs Louisiana Tech<span class=""green""> W </span>45-14 ","vs UTSA<span class=""green""> W </span>27-20 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png&w=40&h=40,BYU,6,Coaches Poll,15
16,LSULSU,1-1,616,1,"@ Vanderbilt<span class=""green""> W </span>41-7 ","vs Missouri<span class=""red""> L </span>45-41 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png&w=40&h=40,LSU,6,Coaches Poll,16
17,OREOregon,0-0,494,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png&w=40&h=40,Oregon,6,Coaches Poll,17
18,VTVirginia Tech,2-0,423,5,"@ Duke<span class=""green""> W </span>38-31 ","@ #9 North Carolina<span class=""red""> L </span>56-45 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&w=40&h=40,Virginia Tech,6,Coaches Poll,18
19,MICHMichigan,0-0,409,2, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png&w=40&h=40,Michigan,6,Coaches Poll,19
20,TA&MTexas A&M,1-1,339,7,"@ #2 Alabama<span class=""red""> L </span>52-24 ","vs #3 Florida<span class=""green""> W </span>41-38 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png&w=40&h=40,Texas A&M,6,Coaches Poll,20
21,SMUSMU,4-0,304,NR,"vs #24 Memphis<span class=""green""> W </span>30-27 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png&w=40&h=40,SMU,6,Coaches Poll,21
22,TEXTexas,2-1,295,13,"vs TCU<span class=""red""> L </span>33-31 ","vs Oklahoma<span class=""red""> L </span>53-45 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&w=40&h=40,Texas,6,Coaches Poll,22
23,ULLouisiana,3-0,207,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png&w=40&h=40,Louisiana,6,Coaches Poll,23
24,ISUIowa State,2-1,137,NR,"vs #16 Oklahoma<span class=""green""> W </span>37-30 ","vs Texas Tech<span class=""green""> W </span>31-15 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png&w=40&h=40,Iowa State,6,Coaches Poll,24
