,Make Semis,Make Final,Win Final
ssg,0.7806,0.5198,0.2987
g2,0.6892,0.3061,0.1919
gg,0.6078,0.4212,0.1896
nrg,0.749,0.3582,0.161
pk2,0.3922,0.1513,0.0674
pk,0.3108,0.1177,0.0578
pine,0.251,0.0693,0.0172
sq,0.2194,0.0564,0.0164
